FISCAL YEAR,COUNTY NUMBER,County,PUBLIC SAFETY AND LEGAL SERVICES,PHYSICAL HEALTH SOCIAL SERVICES,"MENTAL HEALTH, ID & DD",COUNTY ENVIRONMENT AND EDUCATION,ROADS & TRANSPORTATION,GOVERNMENT SERVICES TO RESIDENTS,ADMINISTRATION,NONPROGRAM CURRENT,DEBT SERVICE,CAPITAL PROJECTS,SUBTOTAL EXPENDITURES,OPERATING TRANSFERS OUT,REFUNDED DEBT/PAYMENTS TO ESCROW,TOTAL EXPENDITURES & OTHER USES,Primary County Coordinates
2019,71,OBRIEN,3388305,438254,140153,965776,4809437,606503,1222247,50087,0,729549,12350311,3153190,0,15503501,POINT (-95.6248784 43.0837527)
2020,71,Obrien,3453499,408476,209914,1211312,5619356,620059,1552729,31102,0,2310983,15417430,4048938,0,19466368,POINT (-95.6248784 43.0837527)
2021,71,Obrien,3953159,454951,699579,988605,4665659,690738,1391280,7792,0,1068365,13920128,4275704,0,18195832,POINT (-95.6248784 43.0837527)
2010,72,OSCEOLA,1021834,295193,668312,409816,2261334,234360,673824,0,376862,227488,6169023,1341057,0,7510080,POINT (-95.6236852 43.3785704)
2011,72,OSCEOLA,1143525,261916,702701,350873,2626243,252525,679200,69565,451365,247641,6785554,1113184,0,7898738,POINT (-95.6236852 43.3785704)
2012,72,OSCEOLA,1315595,227007,614041,381308,2721702,276960,679498,65543,424788,128186,6834628,1119537,0,7954165,POINT (-95.6236852 43.3785704)
2013,72,OSCEOLA,1139088,202814,517932,652506,2649774,277626,728759,64297,463738,230566,6927100,1228654,0,8155754,POINT (-95.6236852 43.3785704)
2014,72,OSCEOLA,1188558,210536,301088,1817219,2648788,282667,791853,67425,352022,102464,7762620,1372388,585660,9720668,POINT (-95.6236852 43.3785704)
2015,72,OSCEOLA,1296067,208205,233738,1339091,3192908,357851,822255,61026,469161,12634,7992936,1588182,0,9581118,POINT (-95.6236852 43.3785704)
2016,72,OSCEOLA,1467673,208829,287488,860223,3007558,265534,889174,94523,477833,39104,7597939,1524479,0,9122418,POINT (-95.6236852 43.3785704)
2017,72,OSCEOLA,1492648,212997,204754,589845,3481743,272065,902916,87869,462606,93625,7801068,2020468,0,9821536,POINT (-95.6236852 43.3785704)
2018,72,OSCEOLA,1600219,213853,131922,1287726,3911273,310123,920385,247764,578309,124564,9326138,1729022,0,11055160,POINT (-95.6236852 43.3785704)
2019,72,OSCEOLA,1674789,214540,60640,1490919,5474146,297192,1184102,166907,605970,140771,11309976,1891923,0,13201899,POINT (-95.6236852 43.3785704)
2020,72,Osceola,1714774,212218,90676,2530049,5082804,315976,959439,155658,1330381,16112,12408087,1472768,0,13880855,POINT (-95.6236852 43.3785704)
2021,72,Osceola,1968828,277410,132880,1021957,3903469,315711,1056285,157942,346125,51325,9231932,1747813,0,10979745,POINT (-95.6236852 43.3785704)
2010,73,PAGE,1552150,649203,1857147,337457,3943696,421310,841603,1210,105495,2027593,11736864,765752,0,12502616,POINT (-95.1501747 40.7391444)
2011,73,PAGE,2105063,626714,1817903,419707,3318430,430812,933466,3287,108563,1890309,11654254,715948,0,12370202,POINT (-95.1501747 40.7391444)
2012,73,PAGE,1591023,617838,2081667,414430,3641895,463349,1043912,1354,208851,505332,10569651,1016089,0,11585740,POINT (-95.1501747 40.7391444)
2013,73,PAGE,1645130,589283,1180627,386374,3203352,441466,984421,2794,209657,236677,8879781,1542680,0,10422461,POINT (-95.1501747 40.7391444)
2014,73,PAGE,1744705,566036,1049585,480436,3934698,445961,1039754,4666,190269,24038,9480148,1180242,0,10660390,POINT (-95.1501747 40.7391444)
2015,73,PAGE,1796656,476753,1346441,348581,3689495,467387,1048959,1111,191548,175,9367106,1285605,0,10652711,POINT (-95.1501747 40.7391444)
2016,73,PAGE,2646426,439421,1098017,365302,4551553,511052,1108568,1111,1381480,54952,12157882,1297283,0,13455165,POINT (-95.1501747 40.7391444)
2017,73,PAGE,2189533,458137,395898,505293,4542914,542799,1088191,0,156463,161072,10040300,1388984,0,11429284,POINT (-95.1501747 40.7391444)
2018,73,PAGE,4421799,459162,512499,392336,4709378,586563,1155646,11740,430708,924929,13604760,1558250,0,15163010,POINT (-95.1501747 40.7391444)
2019,73,PAGE,2782815,469828,320616,469492,4513475,591534,1289837,0,429542,79530,10946669,1420771,0,12367440,POINT (-95.1501747 40.7391444)
2020,73,Page,2760869,479794,424733,480614,4846514,617015,1370923,245,428189,2177170,13586066,1512959,0,15099025,POINT (-95.1501747 40.7391444)
2021,73,Page,2804955,587680,380148,520236,5179355,632429,1384237,2450,431439,4400244,16323173,1512959,0,17836132,POINT (-95.1501747 40.7391444)
2010,74,PALO ALTO,1616542,305909,1158880,1322772,3786423,363295,1174580,0,1299379,1561065,12588845,1082812,0,13671657,POINT (-94.6781371 43.0820643)
2011,74,PALO ALTO,1570857,299472,1175813,1368793,3703719,362091,1102148,0,1234716,3710428,14528037,1226782,0,15754819,POINT (-94.6781371 43.0820643)
2012,74,PALO ALTO,1620944,329715,1227656,1538917,4191246,389009,1140125,0,1179444,3581630,15198686,1283252,0,16481938,POINT (-94.6781371 43.0820643)
2013,74,PALO ALTO,1666554,311893,674356,1447907,4221372,404355,1154691,0,1471726,2580201,13933055,1317570,0,15250625,POINT (-94.6781371 43.0820643)
2014,74,PALO ALTO,1726682,351726,480711,1299557,4338543,422477,1132815,0,1292212,1531749,12576472,1388822,0,13965294,POINT (-94.6781371 43.0820643)
2015,74,PALO ALTO,1758241,323350,502763,1295243,3780472,403729,1175756,0,8089623,5237672,22566849,1652978,0,24219827,POINT (-94.6781371 43.0820643)
2016,74,PALO ALTO,1765601,331441,448041,1512890,3537733,408090,1167636,0,1761967,2141066,13074465,2294543,0,15369008,POINT (-94.6781371 43.0820643)
2017,74,PALO ALTO,1861713,345723,203562,1413081,3540705,434222,1211173,0,1886622,2918931,13815732,2506924,0,16322656,POINT (-94.6781371 43.0820643)
2018,74,PALO ALTO,2067658,356980,193000,1519636,4271033,483003,1258637,0,1893995,453005,12496947,2616716,0,15113663,POINT (-94.6781371 43.0820643)
2019,74,PALO ALTO,2120147,364244,90470,1678271,4277581,476861,1354510,0,2517908,6406764,19286756,3204712,0,22491468,POINT (-94.6781371 43.0820643)
2020,74,Palo Alto,2170651,353882,141779,1485600,4909458,483209,1277406,0,2948688,375684,14146357,2819804,0,16966161,POINT (-94.6781371 43.0820643)
2021,74,Palo Alto,2210921,302801,163760,1520008,5339376,495704,1283796,0,1852976,363351,13532693,2704711,0,16237404,POINT (-94.6781371 43.0820643)
2010,75,PLYMOUTH,2856285,351013,1751393,881662,6306267,664299,2275717,0,1261428,1029811,17377875,3024941,0,20402816,POINT (-96.2140431 42.7378346)
2011,75,PLYMOUTH,2852154,322606,1848232,927498,6233133,656289,4034030,0,1271516,1327084,19472542,3982226,0,23454768,POINT (-96.2140431 42.7378346)
2012,75,PLYMOUTH,3056878,337738,2028870,808737,6315234,710310,4011469,0,1477488,923441,19670165,3246638,0,22916803,POINT (-96.2140431 42.7378346)
2013,75,PLYMOUTH,3164824,376854,592193,957460,8694342,848280,3438158,25600,1284159,3096524,22478394,3296546,0,25774940,POINT (-96.2140431 42.7378346)
2014,75,PLYMOUTH,3354054,354819,999036,879270,7969674,777039,4035867,0,1304891,3879586,23554236,3804440,0,27358676,POINT (-96.2140431 42.7378346)
2015,75,PLYMOUTH,3465563,363723,1157932,943560,6989184,777576,2477725,0,1658005,2636674,20469942,5044705,0,25514647,POINT (-96.2140431 42.7378346)
2016,75,PLYMOUTH,3896311,359915,654081,977723,7369293,829518,2977414,0,2250437,2182063,21496755,3924355,0,25421110,POINT (-96.2140431 42.7378346)
2017,75,PLYMOUTH,3783624,350737,360552,1112626,8577073,817062,2107241,0,1280705,2710570,21100190,4315910,0,25416100,POINT (-96.2140431 42.7378346)
2018,75,PLYMOUTH,4067146,334157,361803,1132022,7564436,862327,2379888,0,1236845,3124897,21063521,4311300,0,25374821,POINT (-96.2140431 42.7378346)
2019,75,PLYMOUTH,4268596,369356,568358,1163399,8010153,890463,2246018,0,1079945,3629439,22225727,4257300,0,26483027,POINT (-96.2140431 42.7378346)
2020,75,Plymouth,4166711,385882,565365,1322690,7440545,878411,2077889,0,652645,3903001,21393139,4025000,0,25418139,POINT (-96.2140431 42.7378346)
2021,75,Plymouth,4313982,474916,757138,1296800,8904911,891095,2373046,0,629620,1577963,21219471,4707000,0,25926471,POINT (-96.2140431 42.7378346)
2010,76,POCAHONTAS,1526564,1372248,845678,882905,3959179,304580,1306277,8339,0,112463,10318233,950000,0,11268233,POINT (-94.67874660000001 42.73413510000001)
2011,76,POCAHONTAS,1648371,1375477,819516,929689,3548147,324385,1465823,560648,0,1309359,11981415,1575000,0,13556415,POINT (-94.67874660000001 42.73413510000001)
2012,76,POCAHONTAS,1618186,1275012,951283,915539,3632651,311333,1253625,8672,0,191858,10158159,1190000,0,11348159,POINT (-94.67874660000001 42.73413510000001)
2013,76,POCAHONTAS,1671722,1216333,589664,994361,3090109,279402,1153931,8794,0,229941,9234257,1110000,0,10344257,POINT (-94.67874660000001 42.73413510000001)
2014,76,POCAHONTAS,1763578,1235439,502604,962215,3752893,333667,1445459,12595,0,187628,10196078,1090000,0,11286078,POINT (-94.67874660000001 42.73413510000001)
2015,76,POCAHONTAS,1912587,1238837,408617,1002322,4029688,324375,1318200,9329,86435,398545,10728935,1421875,0,12150810,POINT (-94.67874660000001 42.73413510000001)
2016,76,POCAHONTAS,2003836,1235739,407600,1035170,3055294,314075,1210441,10129,0,175526,9447810,1248901,0,10696711,POINT (-94.67874660000001 42.73413510000001)
2017,76,POCAHONTAS,1900151,1258693,472214,1054955,4332832,305349,1406904,9053,0,13015,10753166,1090000,0,11843166,POINT (-94.67874660000001 42.73413510000001)
2018,76,POCAHONTAS,2003994,1434323,360605,977413,4525461,356673,1369400,10801,0,1970022,13008692,1525000,0,14533692,POINT (-94.67874660000001 42.73413510000001)
2019,76,POCAHONTAS,2136910,1474505,329511,1031586,4671476,411339,1469756,9566,0,2793335,14327984,1541996,0,15869980,POINT (-94.67874660000001 42.73413510000001)
2020,76,Pocahontas,2216644,1430183,311482,1108495,4487736,410431,1673832,10451,0,297430,11946684,1872034,0,13818718,POINT (-94.67874660000001 42.73413510000001)
2021,76,Pocahontas,2340790,1446451,202715,1046492,4539295,386604,1683955,212015,0,219175,12077492,1862331,0,13939823,POINT (-94.67874660000001 42.73413510000001)
2010,77,POLK,60559403,37281865,52073559,12553195,10223201,6583590,29687259,0,13835036,13382154,236179262,11154021,0,247333283,POINT (-93.5735335 41.6855048)
2011,77,POLK,62638508,38841282,47973413,12614556,12460028,6663025,28708450,0,13392518,16808366,240100146,12937327,0,253037473,POINT (-93.5735335 41.6855048)
2012,77,POLK,64726796,36066369,58075965,12479717,10569008,6961088,30964389,0,12964857,12201654,245009843,12761492,0,257771335,POINT (-93.5735335 41.6855048)
2013,77,POLK,64545411,33224684,35694260,11431565,9384772,7087046,30034029,0,12956451,12408664,216766882,10639985,0,227406867,POINT (-93.5735335 41.6855048)
2014,77,POLK,67239373,32596185,24635348,11158269,10270607,7036053,29154648,0,18231571,24778499,225100553,12925655,0,238026208,POINT (-93.5735335 41.6855048)
2015,77,POLK,67736584,33304818,29300185,12298440,10218868,7050798,30819020,0,17967731,21206198,229902642,12998323,640000,243540965,POINT (-93.5735335 41.6855048)
2016,77,POLK,70121781,34762750,26249674,14223848,10060591,7474894,32181469,0,22505696,31626047,249206750,15539004,0,264745754,POINT (-93.5735335 41.6855048)
2017,77,POLK,72790134,35825229,21155707,14364564,10792329,7747756,33849201,0,19462267,27486745,243473932,26346273,64819767,334639972,POINT (-93.5735335 41.6855048)
2018,77,POLK,73982865,37924736,21978560,14049618,10458021,7760563,34397839,0,18870646,48781217,268204065,17340379,14630000,300174444,POINT (-93.5735335 41.6855048)
2019,77,POLK,78988148,39210208,24943584,16994095,12077943,7969476,41875590,0,19228437,43106509,284393990,22664549,0,307058539,POINT (-93.5735335 41.6855048)
2020,77,Polk,85075160,38448705,24745039,18126533,12999674,8991348,37506535,0,51971823,31215170,309079987,26719295,52745000,388544282,POINT (-93.5735335 41.6855048)
2021,77,Polk,87865337,37035428,28964746,20799810,13073467,10154198,52312961,0,23763887,38064431,312034265,40870593,0,352904858,POINT (-93.5735335 41.6855048)
2010,78,POTTAWATTAMIE,19081972,3016936,9232322,5097429,10741032,1761893,7165378,0,9647748,10631126,76375836,7154436,0,83530272,POINT (-95.5423935 41.3366123)
2011,78,POTTAWATTAMIE,19503449,3061863,9159450,5551058,10520270,1683075,6068066,0,3889094,3326741,62763066,6529259,0,69292325,POINT (-95.5423935 41.3366123)
2012,78,POTTAWATTAMIE,20633784,3250400,10977382,5346638,11230908,1880818,6719255,0,3826035,2898326,66763546,7907943,0,74671489,POINT (-95.5423935 41.3366123)
2013,78,POTTAWATTAMIE,21338391,3406672,6487768,6963919,12611554,2107484,7099929,0,3637204,4275537,67928458,8391387,0,76319845,POINT (-95.5423935 41.3366123)
2014,78,POTTAWATTAMIE,22745973,5454047,2866868,7114864,9736443,1949013,6168467,0,3793671,1286952,61116298,10264196,0,71380494,POINT (-95.5423935 41.3366123)
2015,78,POTTAWATTAMIE,26233520,5145261,9653727,5640695,11556752,2055761,6402523,0,8986381,5628528,81303148,11972742,0,93275890,POINT (-95.5423935 41.3366123)
2016,78,POTTAWATTAMIE,26923123,4880008,3485818,4699986,12236360,1969807,6907856,0,6554507,2813095,70470560,9742732,0,80213292,POINT (-95.5423935 41.3366123)
2017,78,POTTAWATTAMIE,28133862,4350624,2572551,4498401,12003757,2229353,7151312,0,3919751,3816018,68675629,9875417,0,78551046,POINT (-95.5423935 41.3366123)
2018,78,POTTAWATTAMIE,29842959,3491566,2499749,5439578,13886826,2113367,7745381,0,2971908,3732016,71723350,8968693,0,80692043,POINT (-95.5423935 41.3366123)
2019,78,POTTAWATTAMIE,30884494,3526740,2022689,4954455,15260473,2180844,7419857,0,3023707,4747968,74021227,10451123,0,84472350,POINT (-95.5423935 41.3366123)
2020,78,Pottawattamie,31990913,4161153,1959743,5384207,14830160,2340688,8141357,0,3429081,4055387,76292689,10341439,0,86634128,POINT (-95.5423935 41.3366123)
2021,78,Pottawattamie,32904978,5881090,2378153,5724885,15858247,2362547,13621750,0,3096121,7902281,89730052,15046270,0,104776322,POINT (-95.5423935 41.3366123)
2010,79,POWESHIEK,2415958,318079,1589465,855818,4010284,653021,1089319,187782,603920,4929755,16653401,2107326,0,18760727,POINT (-92.53146840000001 41.6864422)
2011,79,POWESHIEK,2473866,434372,1371140,1040632,4572753,667085,1023114,171207,607562,342127,12703858,2449419,0,15153277,POINT (-92.53146840000001 41.6864422)
2012,79,POWESHIEK,2750189,332670,2259553,515771,4919825,686318,1117130,244179,605628,148923,13580186,2487282,0,16067468,POINT (-92.53146840000001 41.6864422)
2013,79,POWESHIEK,2731159,287682,956992,462014,5403629,675325,1075331,228832,603308,163176,12587448,3217413,0,15804861,POINT (-92.53146840000001 41.6864422)
2014,79,POWESHIEK,2783497,388192,1047687,458032,4692327,625379,1092767,196060,750894,1349190,13384025,3337977,0,16722002,POINT (-92.53146840000001 41.6864422)
2015,79,POWESHIEK,2821081,318517,1076622,491256,5019265,680811,1262855,148211,750295,639976,13208889,2975652,0,16184541,POINT (-92.53146840000001 41.6864422)
2016,79,POWESHIEK,2977943,281752,479277,515396,5303067,650199,1345065,109439,746610,543896,12952644,2816801,0,15769445,POINT (-92.53146840000001 41.6864422)
2017,79,POWESHIEK,3042324,299405,453065,597701,5916032,624972,1269363,94891,745075,434401,13477229,3270501,0,16747730,POINT (-92.53146840000001 41.6864422)
2018,79,POWESHIEK,3094293,325026,417020,610792,5382525,655514,1263348,284926,745108,775670,13554222,3689051,0,17243273,POINT (-92.53146840000001 41.6864422)
2019,79,POWESHIEK,3149716,278942,464051,632971,6826131,653088,1183016,398479,748108,486159,14820661,3503818,0,18324479,POINT (-92.53146840000001 41.6864422)
2020,79,Poweshiek,3319540,319517,655211,650751,5991606,696431,1033434,421256,744620,1050356,14882722,3820869,0,18703591,POINT (-92.53146840000001 41.6864422)
2021,79,Poweshiek,3573423,305397,467016,660607,6485798,604982,1243770,322657,733320,1658116,16055086,3733089,0,19788175,POINT (-92.53146840000001 41.6864422)
2010,80,RINGGOLD,915296,839835,684610,221538,2381744,261627,632237,12463,42681,1187523,7179554,170000,0,7349554,POINT (-94.2439719 40.7352023)
2011,80,RINGGOLD,935678,1114163,854455,259006,3780043,292976,598835,12821,182027,2136231,10166235,599212,0,10765447,POINT (-94.2439719 40.7352023)
2012,80,RINGGOLD,1129118,1181246,664283,309728,2758368,261478,800897,11076,194690,1295687,8606571,649667,0,9256238,POINT (-94.2439719 40.7352023)
2013,80,RINGGOLD,1174377,975573,696458,293272,3331067,243625,1328515,7462,277879,0,8328228,623606,0,8951834,POINT (-94.2439719 40.7352023)
2014,80,RINGGOLD,1195872,904329,575446,262018,3936336,243464,1519472,12184,192430,219515,9061066,712648,0,9773714,POINT (-94.2439719 40.7352023)
2015,80,RINGGOLD,1156766,906641,340113,261692,2860223,247800,838342,10994,195690,248562,7066823,716095,0,7782918,POINT (-94.2439719 40.7352023)
2016,80,RINGGOLD,1194412,912281,471270,465023,4283255,265832,792273,0,490205,350941,9225492,751497,0,9976989,POINT (-94.2439719 40.7352023)
2017,80,RINGGOLD,1220686,873895,542431,573705,4125544,269251,858922,0,486580,19399,8970413,736419,0,9706832,POINT (-94.2439719 40.7352023)
2018,80,RINGGOLD,1180320,805401,500600,395697,3867757,293652,832580,0,488118,303810,8667935,754780,0,9422715,POINT (-94.2439719 40.7352023)
2019,80,RINGGOLD,1336738,854002,745823,348673,3976655,262755,877045,0,269856,62608,8734155,813975,0,9548130,POINT (-94.2439719 40.7352023)
2020,80,Ringgold,1355961,931156,611097,425471,3919953,291315,935892,0,187082,312397,8970324,819777,0,9790101,POINT (-94.2439719 40.7352023)
2021,80,Ringgold,1451700,821672,576060,457298,3759702,287158,1018435,0,183200,575025,9130250,850000,0,9980250,POINT (-94.2439719 40.7352023)
2010,81,SAC,1943081,605952,1364672,809015,3323065,356173,1027939,0,50849,547144,10027890,1101809,0,11129699,POINT (-95.1053946 42.3862604)
2011,81,SAC,2115320,572013,1609965,698071,3871926,368646,1119057,0,50250,420670,10825918,1161715,0,11987633,POINT (-95.1053946 42.3862604)
2012,81,SAC,2155768,590822,1570232,686905,4152009,399334,1158999,0,48634,245397,11008100,1250669,0,12258769,POINT (-95.1053946 42.3862604)
2013,81,SAC,2188801,602283,1336195,744855,4209452,388360,1221669,0,47970,305984,11045569,1319396,0,12364965,POINT (-95.1053946 42.3862604)
2014,81,SAC,2190790,692365,533406,766327,4314219,436082,1267121,0,47289,408629,10656228,1375705,0,12031933,POINT (-95.1053946 42.3862604)
2015,81,SAC,2299868,749744,617879,843192,4519189,402342,1260503,0,46567,316684,11055968,1472774,0,12528742,POINT (-95.1053946 42.3862604)
2016,81,SAC,2481790,751273,415386,803862,4785880,466202,1353956,0,45828,387836,11492013,1504107,0,12996120,POINT (-95.1053946 42.3862604)
2017,81,SAC,2676681,814893,351474,926826,4769675,469578,1265251,6680,0,1217531,12498589,1626532,0,14125121,POINT (-95.1053946 42.3862604)
2018,81,SAC,2816623,811147,327388,946053,4227602,495641,1412665,11925,0,1144450,12193494,1543672,0,13737166,POINT (-95.1053946 42.3862604)
2019,81,SAC,3062983,815459,236974,1019957,5176121,512177,1471488,1157,0,835908,13132224,1600278,0,14732502,POINT (-95.1053946 42.3862604)
2020,81,Sac,3040064,734191,301873,764775,5208229,511493,1452205,768,0,794637,12808235,1625448,0,14433683,POINT (-95.1053946 42.3862604)
2021,81,Sac,3105460,707177,349884,1034077,5443450,512691,1756338,0,0,1208660,14117737,1732123,0,15849860,POINT (-95.1053946 42.3862604)
2010,82,SCOTT,19942388,6595223,14492698,4197866,4604130,2052706,8342658,0,3719405,9072467,73019541,8007463,2745000,83772004,POINT (-90.6232428 41.6370978)
2011,82,SCOTT,26494924,6511764,15221435,4515107,4540049,2022332,9094998,0,4355660,7748372,80504641,8433583,0,88938224,POINT (-90.6232428 41.6370978)
2012,82,SCOTT,26757076,5395364,17466386,4663469,5111168,2210614,9203859,0,4369070,2190781,77367787,9936539,0,87304326,POINT (-90.6232428 41.6370978)
2013,82,SCOTT,27661022,5256670,8216388,4591242,4969031,2178374,9121577,4381594,4368485,3751882,74496265,18849747,0,93346012,POINT (-90.6232428 41.6370978)
2014,82,SCOTT,27937703,5381859,7030250,4601463,4528796,2202471,9619161,295460,4385803,3717114,69700080,14093483,0,83793563,POINT (-90.6232428 41.6370978)
2015,82,SCOTT,28462489,5461000,6037145,4761946,5439459,2141186,10051968,373361,4083170,5088549,71900273,15790988,0,87691261,POINT (-90.6232428 41.6370978)
2016,82,SCOTT,28386015,5922900,8424829,5058935,7065394,2334861,9909354,370000,3812266,8493417,79777971,14517535,0,94295506,POINT (-90.6232428 41.6370978)
2017,82,SCOTT,29079965,6252971,3923626,4622710,5084780,2429984,10342307,664712,3862879,11335952,77599886,16385339,0,93985225,POINT (-90.6232428 41.6370978)
2018,82,SCOTT,30356382,5972000,4188285,4871039,5527111,2471844,10821868,525000,3391122,5881754,74006405,15709549,0,89715954,POINT (-90.6232428 41.6370978)
2019,82,SCOTT,32908831,5928271,4420718,4949601,6495669,2555119,11440422,465000,3382890,7332952,79879473,17437635,0,97317108,POINT (-90.6232428 41.6370978)
2020,82,Scott,33980781,6298298,5584029,5156195,6653196,2687635,12044238,100000,10284666,12249984,95039022,15343844,0,110382866,POINT (-90.6232428 41.6370978)
2021,82,Scott,34599952,7925141,5853788,5006358,6295749,3108837,12582267,0,4871446,13261145,93504683,16529694,0,110034377,POINT (-90.6232428 41.6370978)
2010,83,SHELBY,1766379,465403,2323312,415134,4234051,400780,1004058,192,391875,1514919,12516103,2603625,0,15119728,POINT (-95.31021130000002 41.6850926)
2011,83,SHELBY,1806730,512002,2438775,400038,4744334,399130,1041380,2270,129629,1326919,12801207,3065207,0,15866414,POINT (-95.31021130000002 41.6850926)
2012,83,SHELBY,1903138,602754,2765440,522130,4502700,416722,1040730,10657,131257,623590,12519118,2500160,0,15019278,POINT (-95.31021130000002 41.6850926)
2013,83,SHELBY,1692558,587798,1731319,401361,4471948,391699,1135765,10714,737909,731807,11892878,2724510,0,14617388,POINT (-95.31021130000002 41.6850926)
2014,83,SHELBY,1800160,596241,1433903,400896,4876867,435495,1112473,34409,0,525196,11215640,2583289,0,13798929,POINT (-95.31021130000002 41.6850926)
2015,83,SHELBY,2581035,503750,1012607,404108,4847764,411494,1196637,12797,100,567256,11537548,3593701,0,15131249,POINT (-95.31021130000002 41.6850926)
2016,83,SHELBY,2310283,465252,821637,400326,5404262,427754,1128452,26000,100,1041512,12025578,2863880,0,14889458,POINT (-95.31021130000002 41.6850926)
2017,83,SHELBY,2374437,510140,569566,414052,5437038,455878,1167215,8937,0,819366,11756629,3507079,0,15263708,POINT (-95.31021130000002 41.6850926)
2018,83,SHELBY,2331924,564429,263057,435114,5733522,452213,1245955,5221,31468,1824491,12887394,4152600,0,17039994,POINT (-95.31021130000002 41.6850926)
2019,83,SHELBY,2304864,563956,264705,410691,6313184,407961,1479208,0,100,1026015,12770684,3860303,0,16630987,POINT (-95.31021130000002 41.6850926)
2020,83,Shelby,2555709,602318,292460,504996,6064782,424653,1564125,0,140982,564693,12714718,3896855,0,16611573,POINT (-95.31021130000002 41.6850926)
2021,83,Shelby,2624419,697662,265203,485153,6328733,411132,1567612,27090,176798,855013,13438815,4268007,0,17706822,POINT (-95.31021130000002 41.6850926)
2010,84,SIOUX,3631191,1440264,2221091,966833,5355228,699103,1809152,32167,881846,1257690,18294565,1864333,0,20158898,POINT (-96.1778827 43.0826174)
2011,84,SIOUX,3743311,1455174,2291119,1018037,5316657,735565,1923860,29904,882914,1041301,18437842,2563236,0,21001078,POINT (-96.1778827 43.0826174)
2012,84,SIOUX,3906732,1251782,2554834,1190753,5604262,816120,1914778,37170,883896,1783477,19943804,2406914,0,22350718,POINT (-96.1778827 43.0826174)
2013,84,SIOUX,3916921,647430,985755,1205565,5577550,773731,1956579,29949,887625,4678399,20659504,6465550,0,27125054,POINT (-96.1778827 43.0826174)
2014,84,SIOUX,3995618,645299,983765,1141395,5686917,866842,2081370,46389,887813,1943108,18278516,2777253,0,21055769,POINT (-96.1778827 43.0826174)
2015,84,SIOUX,4188112,708747,1177934,1785572,5310615,890577,1999017,20938,890738,2249636,19221886,2832929,0,22054815,POINT (-96.1778827 43.0826174)
2016,84,SIOUX,4227864,758236,1481060,1483616,5314406,933281,2183725,65406,3040636,1066677,20554907,3017012,0,23571919,POINT (-96.1778827 43.0826174)
2017,84,SIOUX,4394266,686940,871904,1780668,5882098,932480,2168382,741158,849313,2535837,20843046,2975000,4850000,28668046,POINT (-96.1778827 43.0826174)
2018,84,SIOUX,4248587,769729,945252,1644970,5654305,1018734,2357675,227570,1250525,642501,18759848,2684550,0,21444398,POINT (-96.1778827 43.0826174)
2019,84,SIOUX,4375692,797979,776703,1837496,6239011,1046039,2369595,152442,1310408,2180986,21086351,3128000,0,24214351,POINT (-96.1778827 43.0826174)
2020,84,Sioux,4610994,803901,580373,2022898,6512112,1078443,2590477,100776,1307010,5356710,24963694,4493721,0,29457415,POINT (-96.1778827 43.0826174)
2021,84,Sioux,4659625,899128,971441,2142226,7300374,1083188,2543737,35465,8123253,3197539,30955976,4955386,0,35911362,POINT (-96.1778827 43.0826174)
2010,85,STORY,8678953,2151994,8517767,2628986,5009440,1064486,4089332,0,2211738,2054332,36407028,2000000,0,38407028,POINT (-93.4650448 42.0362415)
2011,85,STORY,9224747,2396799,10755018,2601153,5135228,1107299,4328943,0,1922532,4897645,42369364,2075000,0,44444364,POINT (-93.4650448 42.0362415)
2012,85,STORY,9376718,2099488,11027238,2548652,5365977,1093488,4274578,0,1922142,1843887,39552168,3139000,0,42691168,POINT (-93.4650448 42.0362415)
2013,85,STORY,9865839,2088178,7532315,2581789,5249760,1253788,4503063,0,2272077,1188145,36534954,3129231,0,39664185,POINT (-93.4650448 42.0362415)
2014,85,STORY,10044455,2286629,5730953,2866403,5730515,1060655,4595583,0,2247901,2291072,36854166,2496788,0,39350954,POINT (-93.4650448 42.0362415)
2015,85,STORY,10443921,2238842,8848300,3497417,5553426,1091939,4681531,0,1174336,2329624,39859336,2624171,0,42483507,POINT (-93.4650448 42.0362415)
2016,85,STORY,10927388,2410109,4282131,3483087,5564364,1626576,5442717,14654,3599608,1563883,38914517,3483024,0,42397541,POINT (-93.4650448 42.0362415)
2017,85,STORY,11704848,2370589,2063569,3781745,5664749,1307839,5403844,297258,1355139,2187486,36137066,2983122,0,39120188,POINT (-93.4650448 42.0362415)
2018,85,STORY,12099745,2334248,2031538,4801705,6889884,1196875,5659996,84132,2225906,4357480,41681509,2803556,0,44485065,POINT (-93.4650448 42.0362415)
2019,85,STORY,13072030,2367987,2092075,4210838,7030659,1245158,6421574,54718,1619934,4078210,42193183,3093350,0,45286533,POINT (-93.4650448 42.0362415)
2020,85,Story,14197943,2246140,2937444,4215925,6736375,1529878,6256064,31760,1071571,4173138,43396238,3219460,0,46615698,POINT (-93.4650448 42.0362415)
2021,85,Story,13910176,2552601,2424108,4760671,6976287,1514141,7048840,0,1625180,5040577,45852581,3374960,0,49227541,POINT (-93.4650448 42.0362415)
2010,86,TAMA,2889770,1406483,1770899,619255,5563310,476915,1033507,134,0,658335,14418608,1985248,0,16403856,POINT (-92.5325425 42.07981170000001)
2011,86,TAMA,2904862,1431941,1839031,789748,5982692,434204,990459,112,0,270287,14643336,1757564,0,16400900,POINT (-92.5325425 42.07981170000001)
